theta0 theta1 theta2 fc_t_min
0 -0.680678 0.733038 0.395529
0 -0.680678 0.785398 0.396458
0 -0.680678 0.837758 0.313249
0 -0.680678 0.890118 0
0 -0.680678 0.942478 0
0 -0.680678 0.994838 0
0 -0.680678 1.0472 0
0 -0.733038 0.0523599 1.19526
0 -0.733038 0.10472 1.1068
0 -0.733038 0.15708 1.02407
0 -0.733038 0.20944 1.29373
0 -0.733038 0.261799 1.19438
0 -0.733038 0.314159 0.92776
0 -0.733038 0.366519 0.85968
0 -0.733038 0.418879 1.01969
0 -0.733038 0.471239 0.965491
0 -0.733038 0.523599 0.752586
0 -0.733038 0.575959 0.649284
0 -0.733038 0.628319 0.65071
0 -0.733038 0.680678 0.416634
0 -0.733038 0.733038 0.428007
0 -0.733038 0.785398 0.42701
0 -0.733038 0.837758 0
0 -0.733038 0.890118 0
0 -0.733038 0.942478 0
0 -0.733038 0.994838 0
0 -0.733038 1.0472 0
0 -0.785398 0.0523599 1.2806
0 -0.785398 0.10472 1.13071
0 -0.785398 0.15708 1.01265
0 -0.785398 0.20944 1.25421
0 -0.785398 0.261799 1.16352
0 -0.785398 0.314159 1.1551
0 -0.785398 0.366519 1.13382
0 -0.785398 0.418879 1.05205
0 -0.785398 0.471239 1.00041
0 -0.785398 0.523599 0.606328
0 -0.785398 0.575959 0.588275
0 -0.785398 0.628319 0.491708
0 -0.785398 0.680678 0.579152
0 -0.785398 0.733038 0.107816
0 -0.785398 0.785398 0
0 -0.785398 0.837758 0
0 -0.785398 0.890118 0
0 -0.785398 0.942478 0
0 -0.785398 0.994838 0
0 -0.785398 1.0472 0
0 -0.837758 0.0523599 1.3032
0 -0.837758 0.10472 1.10834
0 -0.837758 0.15708 1.04235
0 -0.837758 0.20944 1.00215
0 -0.837758 0.261799 1.17313
0 -0.837758 0.314159 0.926171
0 -0.837758 0.366519 1.16395
0 -0.837758 0.418879 1.08655
0 -0.837758 0.471239 0.658768
0 -0.837758 0.523599 0.777956
0 -0.837758 0.575959 0.439575
0 -0.837758 0.628319 0.0395684
0 -0.837758 0.680678 0.263749
0 -0.837758 0.733038 0
0 -0.837758 0.785398 0
0 -0.837758 0.837758 0
0 -0.837758 0.890118 0
0 -0.837758 0.942478 0
0 -0.837758 0.994838 0
0 -0.837758 1.0472 0
0 -0.890118 0.0523599 1.46797
0 -0.890118 0.10472 1.12315
0 -0.890118 0.15708 1.08246
0 -0.890118 0.20944 1.04155
0 -0.890118 0.261799 1.22758
0 -0.890118 0.314159 0.945948
0 -0.890118 0.366519 0.941776
0 -0.890118 0.418879 0.800289
0 -0.890118 0.471239 0.699104
0 -0.890118 0.523599 0.834927
0 -0.890118 0.575959 0.503559
0 -0.890118 0.628319 0.41782
0 -0.890118 0.680678 0
0 -0.890118 0.733038 0
0 -0.890118 0.785398 0
0 -0.890118 0.837758 0
0 -0.890118 0.890118 0
0 -0.890118 0.942478 0
0 -0.890118 0.994838 0
0 -0.890118 1.0472 0
0 -0.942478 0.0523599 1.48071
0 -0.942478 0.10472 1.27046
0 -0.942478 0.15708 1.13543
0 -0.942478 0.20944 1.08302
0 -0.942478 0.261799 0.990779
0 -0.942478 0.314159 1.12149
0 -0.942478 0.366519 0.953094
0 -0.942478 0.418879 0.752641
0 -0.942478 0.471239 0.885956
0 -0.942478 0.523599 0.889405
0 -0.942478 0.575959 0.484851
0 -0.942478 0.628319 0
0 -0.942478 0.680678 0
0 -0.942478 0.733038 0
0 -0.942478 0.785398 0
0 -0.942478 0.837758 0
0 -0.942478 0.890118 0
0 -0.942478 0.942478 0
0 -0.942478 0.994838 0
0 -0.942478 1.0472 0
0 -0.994838 0.0523599 1.5231
0 -0.994838 0.10472 1.3326
0 -0.994838 0.15708 1.16134
0 -0.994838 0.20944 1.34248
0 -0.994838 0.261799 1.01267
0 -0.994838 0.314159 0.988018
0 -0.994838 0.366519 0.983316
0 -0.994838 0.418879 0.941961
0 -0.994838 0.471239 0.941552
0 -0.994838 0.523599 0.94124
0 -0.994838 0.575959 0
0 -0.994838 0.628319 0
0 -0.994838 0.680678 0
0 -0.994838 0.733038 0
0 -0.994838 0.785398 0
0 -0.994838 0.837758 0
0 -0.994838 0.890118 0
0 -0.994838 0.942478 0
0 -0.994838 0.994838 0
0 -0.994838 1.0472 0
0 -1.0472 0.0523599 1.5344
0 -1.0472 0.10472 1.38335
0 -1.0472 0.15708 1.26102
0 -1.0472 0.20944 1.3646
0 -1.0472 0.261799 1.32516
0 -1.0472 0.314159 1.15004
0 -1.0472 0.366519 1.0109
0 -1.0472 0.418879 0.999909
0 -1.0472 0.471239 0.999499
0 -1.0472 0.523599 0
