theta0 theta1 theta2 fc_t_min
-0.942478 -0.942478 -0.837758 0
-0.942478 -0.942478 -0.733038 0
-0.942478 -0.942478 -0.628319 0
-0.942478 -0.942478 -0.523599 0
-0.942478 -0.942478 -0.418879 0
-0.942478 -0.942478 -0.314159 0
-0.942478 -0.942478 -0.20944 0
-0.942478 -0.942478 -0.10472 0
-0.942478 -0.942478 0 0
-0.942478 -0.942478 0.10472 0
-0.942478 -0.942478 0.20944 0
-0.942478 -0.942478 0.314159 0
-0.942478 -0.942478 0.418879 0
-0.942478 -0.942478 0.523599 0
-0.942478 -0.942478 0.628319 0
-0.942478 -0.942478 0.733038 0
-0.942478 -0.942478 0.837758 0
-0.942478 -0.942478 0.942478 0
-0.942478 -0.942478 1.0472 0
-0.942478 -0.837758 -1.0472 0
-0.942478 -0.837758 -0.942478 0
-0.942478 -0.837758 -0.837758 0
-0.942478 -0.837758 -0.733038 0
-0.942478 -0.837758 -0.628319 0
-0.942478 -0.837758 -0.523599 0
-0.942478 -0.837758 -0.418879 0
-0.942478 -0.837758 -0.314159 0
-0.942478 -0.837758 -0.20944 0
-0.942478 -0.837758 -0.10472 0
-0.942478 -0.837758 0 0
-0.942478 -0.837758 0.10472 0
-0.942478 -0.837758 0.20944 0
-0.942478 -0.837758 0.314159 0
-0.942478 -0.837758 0.418879 0
-0.942478 -0.837758 0.523599 0
-0.942478 -0.837758 0.628319 0
-0.942478 -0.837758 0.733038 0
-0.942478 -0.837758 0.837758 0
-0.942478 -0.837758 0.942478 0
-0.942478 -0.837758 1.0472 0
-0.942478 -0.733038 -1.0472 0
-0.942478 -0.733038 -0.942478 0
-0.942478 -0.733038 -0.837758 0
-0.942478 -0.733038 -0.733038 0
-0.942478 -0.733038 -0.628319 0
-0.942478 -0.733038 -0.523599 0
-0.942478 -0.733038 -0.418879 0
-0.942478 -0.733038 -0.314159 0
-0.942478 -0.733038 -0.20944 0
-0.942478 -0.733038 -0.10472 0
-0.942478 -0.733038 0 0
-0.942478 -0.733038 0.10472 0
-0.942478 -0.733038 0.20944 0
-0.942478 -0.733038 0.314159 0
-0.942478 -0.733038 0.418879 0
-0.942478 -0.733038 0.523599 0
-0.942478 -0.733038 0.628319 0
-0.942478 -0.733038 0.733038 0
-0.942478 -0.733038 0.837758 0
-0.942478 -0.733038 0.942478 0
-0.942478 -0.733038 1.0472 0
-0.942478 -0.628319 -1.0472 0
-0.942478 -0.628319 -0.942478 0
-0.942478 -0.628319 -0.837758 0
-0.942478 -0.628319 -0.733038 0
-0.942478 -0.628319 -0.628319 0
-0.942478 -0.628319 -0.523599 0
-0.942478 -0.628319 -0.418879 0
